address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),review_count,sentiment_score,popularity_score,food_mentions,ambiance_mentions,authenticity_mentions,service_mentions,value_mentions,food_score,ambiance_score,authenticity_score,service_score,value_for_money_score
"513, Opposite Ganesh Temple, Koramangala 8th Block, Bangalore",Sri Ganesh Juice Junction,1,0,3.7,129,+91 9845623889,Koramangala 8th Block,Beverage Shop,[],"['Juices', 'Fast Food']",150.0,Delivery,4,0.89615,0.37770514227862956,8,0,1,0,1,0.6414875,0.5,0.72455,0.5,0.2798
"399, 16th Main, N.S Palya, BTM, Bangalore",Kalingas,1,0,3.9,185,080 42038180,BTM,Quick Bites,"['Rasgulla', 'Mutton Kosha', 'Chicken Kasha', 'Samosa Chaat', 'Kheer', 'Veg Thali']","['Oriya', 'Fast Food']",250.0,Delivery,5,0.95116,0.4274202552891442,10,1,2,2,2,0.8040433333333333,0.5,0.8178,0.8164,0.822425
"15/A, 4th Main, Behind Ayyappa Swamy Temple, Madiwala, BTM, Bangalore",Dum Biryani Hub,1,0,3.9,66,080 49653144,BTM,Quick Bites,"['Dum Biryani', 'Mutton Biryani']",['Biryani'],700.0,Delivery,92,0.5825483695652174,0.3439069868871908,132,1,17,7,9,0.5980432692307692,0.5,0.695685294117647,0.587,0.80088
"206, 7th Cross Road, Teacher's Colony, Sector 5, HSR, Bangalore",Nandhanam Restaurant,1,0,3.8,8,+91 8310884153,HSR,Quick Bites,[],"['South Indian', 'Kerala']",300.0,Delivery,6,0.7312416666666667,0.17510566009773626,10,1,1,1,2,0.66961,0.5,0.7463500000000001,0.5,0.453175
"Eat Street, 419, 80 Feet Road, Koramangala 6th Block, Bangalore",Chaat Street,1,0,3.9,293,080 49652608,Koramangala 6th Block,Kiosk,"['Pav Bhaji', 'Panipuri', 'Raj Kachori', 'Papdi Chaat', 'Samosa Chaat', 'Bhel Puri', 'Vada Pav']","['Street Food', 'North Indian']",250.0,Delivery,6,0.8214833333333333,0.464866987780326,10,3,2,1,1,0.6784405555555555,0.8327666666666667,0.4144875,0.6560250000000001,0.6461
"19th Cross, 7th Main, Near Alliance University, NS Palya, 2nd Stage, BTM, Bangalore",Bathinda Tandoor,1,0,3.9,64,"+91 7899987436
+91 7708528198",BTM,Quick Bites,['Friendly Staff'],['North Indian'],300.0,Delivery,2,0.7927,0.3414282750347626,1,1,0,2,0,0.9374,0.9374,0.5,0.9374,0.5
"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",30 Square,1,0,4.2,559,"+91 9739275618
+91 8884187565",Koramangala 5th Block,Quick Bites,"['Veg Momos', 'Noodles', 'Cheese Momos', 'Jhol Momos', 'Wai Wai Bhel', 'Brownie', 'Chicken Momo']","['Tibetan', 'Nepalese', 'Momos']",400.0,Delivery,33,0.7634181818181818,0.557382798640857,59,7,14,8,5,0.7128214743589744,0.7572000000000001,0.759475,0.5556357142857142,0.60191
"11, 19 Cross, 13th A Main, NS Palya, 2nd Stage, BTM, Bangalore",New Mahesh Friends Food Corner,1,0,3.2,55,"+91 9902419754
+91 9972913805",BTM,Quick Bites,[],"['North Indian', 'Chinese']",300.0,Delivery,1,0.57655,0.2701443868691354,1,0,0,0,0,0.29905000000000004,0.5,0.5,0.5,0.5
"18/1, Wellington Street, Opposite The Frank Anthony Junior Public School, Richmond Road, Bangalore",Kabab Souq,1,0,3.6,112,080 49652717,Richmond Road,Quick Bites,[],"['Kebab', 'North Indian', 'Arabian', 'Chinese']",500.0,Delivery,3,0.71045,0.3569158808055877,4,1,1,0,0,0.7123083333333333,0.92405,0.3758,0.5,0.5
"44, First Floor, 4th B Cross Road, Koramangala 5th Block, Bangalore",Biryanis And More,1,0,3.7,24,+91 8861999234,Koramangala 5th Block,Quick Bites,[],"['Biryani', 'North Indian', 'Chinese', 'Andhra', 'South Indian']",750.0,Delivery,2,0.69175,0.24977449338756955,3,0,2,0,0,0.55505,0.5,0.63935,0.5,0.5
"4th Floor, Bangalore Central Mall, 9th Block, JP Nagar, Bangalore",Rajdhani Thali Restaurant,1,1,3.9,891,"+91 9886022552
080 41126111",JP Nagar,Casual Dining,"['Thali', 'Kadhi', 'Malpua', 'Khichda', 'Dahi Vada', 'Dal Bati Churma', 'Rabri']",['North Indian'],900.0,Delivery,10,0.82185,0.5556459602781084,23,6,8,14,2,0.6031354166666667,0.63383,0.7732416666666666,0.580959375,0.6475500000000001
"101, 1st Floor, 3rd Cross, Narayana Reddy Layout, 80 Feet Road, Koramangala 6th Block, Bangalore",Midnight Mania,1,0,4.0,725,080 43005560,Koramangala 6th Block,Delivery,"['Paneer Tikka Pizza', 'Veggie Pizza', 'Chocolate Tart', 'Peri Peri Chicken Pizza', 'Pasta', 'Kit Kat Shake', 'Burgers']","['Pizza', 'Italian', 'Beverages']",700.0,Delivery,5,0.89521,0.5526193102023099,9,0,1,1,1,0.6581049999999999,0.5,0.8544499999999999,0.7202,0.63085
"314/B, 20th Main, 80 Feet Road, 8th Block, Opposite Panchamuki Anjaneya Temple, Koramangala 8th Block, Bangalore",Sagar Fast Food,1,0,4.0,138,+91 8884520900,Koramangala 8th Block,Quick Bites,['Neer Dosa'],"['South Indian', 'North Indian', 'Street Food', 'Chinese']",250.0,Delivery,1,0.9649,0.4139453324834433,2,0,0,1,0,0.84675,0.5,0.5,0.87505,0.5
"10, Near Jayadeva Signal, Oppoite SBI ATM, 100 Feet Ring Road, 2nd Stage, BTM, Bangalore",Delight Food,1,0,2.6,175,"+91 9739748123
+91 9538676894",BTM,Casual Dining,"['Biryani', 'Noodles']","['Andhra', 'Chinese', 'Biryani']",450.0,Delivery,3,0.7668666666666666,0.28193350183420796,5,0,1,0,0,0.7533166666666666,0.5,0.9212,0.5,0.5
"56, 7th Main, Yellappa Layout, 2nd Stage, BTM, Bangalore",Paratha Junction,1,0,3.0,179,+91 9535673059,BTM,Quick Bites,"['Paratha', 'Kadai Paneer']","['North Indian', 'Chinese']",300.0,Delivery,3,0.7869166666666667,0.3267217963876398,3,0,0,0,1,0.793125,0.5,0.5,0.5,0.67
"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",A2B - Adyar Ananda Bhavan,1,0,4.2,40,080 43334321,BTM,"Takeaway, Delivery",[],"['South Indian', 'North Indian', 'Street Food']",200.0,Delivery,2,0.91545,0.32710206537087605,5,0,1,0,0,0.8051375000000001,0.5,0.71005,0.5,0.5
"84, Hosur Main Road, Madivala, BTM, Bangalore",Savoury Restaurant,1,0,3.9,421,080 49994999,BTM,Casual Dining,"['Shawarma', 'Bamboo Biryani', 'Chicken Shawarama', 'Chicken Grill', 'Chicken Kebab', 'Fish', 'Appam']","['Arabian', 'North Indian', 'Chinese', 'Fast Food']",800.0,Delivery,11,0.7569363636363636,0.49442842829455275,18,6,3,10,3,0.6383725,0.5824125,0.6123000000000001,0.6738625,0.8423166666666666
"998/N, Ground Floor, Opposite To HDFC Bank, 1st Main, Koramangala 1st Block, Bangalore",Hatti Punjab Di,1,0,3.9,237,080 49652491,Koramangala 1st Block,"Takeaway, Delivery","['Aloo Paratha', 'Burgers', 'Momos', 'Gulab Jamun', 'Mutton Roganjosh', 'Noodles', 'Butter Chicken']","['North Indian', 'Chinese']",250.0,Delivery,5,0.57169,0.44758375680886,8,3,1,3,4,0.539185,0.585,0.67,0.54035,0.473425
"303, 1st Main, 1st Block, Jakkasandra, Koramangala 1st Block, Bangalore",Ambur Biryani Point,1,0,4.2,430,"+91 9739191644
+91 9738308596",Koramangala 1st Block,Quick Bites,"['Ambur Biryani', 'Mutton Biryani', 'Raita']","['Biryani', 'Kebab']",250.0,Delivery,3,0.96095,0.534320177283343,5,1,1,0,1,0.66033125,0.4495,0.5,0.5,0.5
"478, 80 Feet Road, 6th Block, Koramangala 6th Block, Bangalore",Pizza Hut,1,0,3.9,490,"080 39883988
080 25533999",Koramangala 6th Block,Casual Dining,"['Pasta', 'Pepperoni', 'Garlic Bread', 'Supreme Pizza', 'Pane Pizza']","['Pizza', 'Fast Food']",750.0,Delivery,2,0.5738,0.5068147953496082,6,1,1,3,0,0.6161333333333333,0.87895,0.94025,0.6894750000000001,0.5
"14, 29th Main, 100 Feet Road, 1st Stage, BTM, Bangalore",Sri Vishnu Park,1,0,3.8,101,080 49702828,BTM,Casual Dining,['Masala Dosa'],"['South Indian', 'North Indian', 'Chinese']",350.0,Delivery,1,0.9707,0.3685826773274355,2,2,0,3,0,0.57955,0.6702,0.5,0.5,0.5
"124, Near Jyothi Nivas College, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore",Meghana Foods,1,0,4.4,7238,080 49653429,Koramangala 5th Block,Casual Dining,"['Chicken Boneless Biryani', 'Egg Curry', 'Andhra Biryani', 'Hyderabadi Biryani', 'Paneer Biryani', 'Buttermilk', 'Sea Food']","['Biryani', 'Seafood', 'Andhra', 'North Indian']",600.0,Delivery,322,0.8515697204968944,0.8200902413933278,675,88,98,161,59,0.6928157240437158,0.6431904761904762,0.7325396341463415,0.7397615591397849,0.7033931034482759
"1,16th Main Road,19th Cross, EWS Colony, 2nd Stage, BTM, Bangalore",Chicken Magic,1,0,3.7,214,+91 8095577245,BTM,Quick Bites,[],"['Chinese', 'North Indian']",300.0,Delivery,1,0.4972,0.4167443746291546,3,0,0,1,1,0.4096166666666667,0.5,0.5,0.7695000000000001,0.7695000000000001
"2/3, 80 Feet Road, Sony World Signal, Opposite Sapphirez, Koramangala 6th Block, Bangalore",Taco Bell,1,0,4.1,1963,"+91 8088933838
+91 9731183188",Koramangala 6th Block,Quick Bites,"['Tacos', 'Nachos', 'Potato Pops', 'Potato Burrito', 'Fiery Potato', 'Rice Bowls', 'Taco Joint']","['Mexican', 'American', 'Fast Food']",600.0,Delivery,29,0.8780793103448274,0.6520067242529058,33,21,7,24,5,0.6973826086956522,0.7646375,0.6088928571428571,0.6703142857142856,0.62288
"36, 29th Main Road, Mahadeshwara Nagar, Stage 2, BTM, Bangalore",Bathinda Junction,1,0,3.8,371,+91 9740701619,BTM,Casual Dining,"['Lassi', 'Shikanji', 'Butter Chicken', 'Dal Makhani', 'Makke Ki Roti', 'Paneer Punjabi', 'Chicken Curry']",['North Indian'],600.0,Delivery,9,0.7662444444444445,0.4717004470509975,10,12,4,4,1,0.6502025,0.6702555555555556,0.6316166666666667,0.7899833333333333,0.5
"Shop 93, 17th H Main Road, KHB Colony, Koramangala 5th Block, Bangalore",Village Donne Biryani,1,0,3.3,50,+91 9880187342,Koramangala 5th Block,Quick Bites,[],['Biryani'],300.0,Delivery,122,0.7145881147540984,0.27211365080861166,120,20,29,42,64,0.6197771505376344,0.4942275,0.6719775862068966,0.669023125,0.6080990196078432
"G-3,1210,16th Main Road, Opposite IS Colony Park, 2nd Stage, BTM, Bangalore",Kullad Cafe,1,0,3.9,333,"+91 8861570148
+91 9972089231",BTM,Cafe,"['Paratha', 'Poha', 'Coffee', 'Chai', 'Sandwiches', 'Ginger Tea', 'Maggi']","['North Indian', 'Cafe', 'Fast Food', 'Beverages']",200.0,Delivery,15,0.7459866666666667,0.4753003775007765,9,7,4,8,1,0.6299398148148149,0.640425,0.5656375,0.737405,0.7695000000000001
"385, 8th Main, 4th Block, Vivek Nagar, Ejipura, Bangalore",Punjabi Dhaba,1,0,3.4,357,+91 9900296710,Ejipura,Quick Bites,"['Butter Chicken', 'Paratha']",['North Indian'],350.0,Delivery,2,0.36219999999999997,0.4193124399762371,2,0,0,0,1,0.605375,0.5,0.5,0.5,0.71075
"Building 5, 4th Cross, Maruthi Nagar, Madiwala, BTM, Bangalore, Bengaluru",Refills Eatery And Beverages,1,0,3.8,92,+91 8884440797,BTM,Delivery,[],"['North Indian', 'South Indian', 'Chinese']",400.0,Delivery,2,0.942975,0.3612210760765654,3,0,1,1,0,0.7871,0.5,0.74385,0.352,0.5
"562, 8th Main, Koramangala 4th Block, Bangalore",Onesta,1,1,4.4,9084,"080 43723443
080 43705665",Koramangala 4th Block,"Casual Dining, Cafe","['Berryblast', 'Gourmet Pizza', 'Mocktails', 'Ravioli', 'Bacon Pizza', 'Pasta', 'Prawn Pizza']","['Pizza', 'Cafe', 'Italian']",600.0,Delivery,266,0.9003962406015038,0.8410502543817634,616,206,84,150,80,0.6949585540184453,0.7451741730279898,0.783125625,0.7558429867986799,0.7182317567567568
"115, 30th Main, 2nd Stage, Nanjappa Reddy Layout, BTM, Bangalore",Night Biryani,1,0,3.2,21,+91 8546822225,BTM,"Takeaway, Delivery",[],"['Biryani', 'North Indian']",600.0,Delivery,12,0.325275,0.20744218952864946,13,2,2,2,2,0.4953709523809524,0.5297499999999999,0.623175,0.05027499999999996,0.41525
"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Polar Bear,1,0,3.9,21,080 43334333,BTM,"Takeaway, Delivery",[],"['Desserts', 'Ice Cream']",300.0,Delivery,9,0.7308888888888889,0.2528201684880415,3,0,0,0,2,0.8236583333333334,0.5,0.5,0.5,0.8659749999999999
"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Kota Kachori,1,0,4.3,3621,080 49652458,Koramangala 6th Block,Quick Bites,"['Pyaz Kachori', 'Chaat', 'Gajar Ka Halwa', 'Shrikhand', 'Jalebi Rabri', 'Churma', 'Boondi Raita']","['Street Food', 'Desserts', 'North Indian', 'Mithai', 'Rajasthani']",400.0,Delivery,60,0.8724616666666667,0.7390060278193933,97,22,32,14,28,0.75088,0.6738295454545454,0.6713962365591397,0.8183416666666665,0.7485789473684211
"28, 1st Cross, Maruthi Nagar, Madiwala, BTM, Bangalore",Savoury - Sea Shell Restaurant,1,0,3.9,468,080 49994999,BTM,Casual Dining,"['Pulpy Grape Juice', 'Chicken Grill', 'Tandoori Chicken', 'Shawarma Roll', 'Bbq Chicken', 'Mutton Biryani', 'Tomato Soup']","['Arabian', 'North Indian', 'Chinese', 'Fast Food']",700.0,Delivery,3,0.7203499999999999,0.503065374120679,7,1,2,1,0,0.5857777777777777,0.23095,0.4270625,0.23095,0.5
"1548, East End Circle, 9th Block, Jayanagar, Bangalore",Kabab Magic,1,0,4.0,966,080 26490895,Jayanagar,Quick Bites,"['Chicken Grill', 'Grape Juice', 'Biryani', 'Shawarma Roll', 'Rolls', 'Chicken Kebab', 'Chicken Shwarma Roll']","['North Indian', 'Kebab', 'Fast Food']",500.0,Delivery,7,0.7940857142857143,0.5766658047684197,11,1,0,3,2,0.6391249999999999,0.5009,0.5,0.6965749999999999,0.9081
"118, Unit 1, Bavar Atrium, Industrial Area, Koramangala 7th Block, Bangalore",Burger King,1,0,3.9,1050,"+91 9513300670
+91 9014994991",Koramangala 7th Block,Quick Bites,"['Burgers', 'Chicken Crisp Burger', 'Chicken Whopper', 'Chicken Keema Burger', 'Chicken Fries', 'Mutton Whopper', 'Chocolate Shake']","['Burger', 'Fast Food', 'Beverages']",600.0,Delivery,9,0.7481166666666667,0.5690622772421406,13,4,1,4,3,0.6317134259259259,0.8102750000000001,0.7992,0.7862083333333334,0.731825
"764/44, 37th Cross 18th Main, 4th T Block, Jayanagar, Bangalore",Mysuru Coffee Thindi,1,0,4.1,312,,Jayanagar,Quick Bites,"['Coffee', 'Masala Dosa', 'Tea', 'Badam Milk', 'Vada', 'Idli', 'Raagi Dosa']","['South Indian', 'Coffee']",200.0,Delivery,5,0.90861,0.49409103645509755,5,1,0,3,0,0.831375,0.71075,0.5,0.6543875,0.5
"143/A, 60 Feet Road, Koramangala 5th Block, Bangalore",Anand Sweets And Savouries,1,0,4.2,1077,"080 25631555
080 41104466",Koramangala 5th Block,Sweet Shop,"['Chaat', 'Rasmalai', 'Motichoor Ladoo', 'Thali', 'Pav Bhaji', 'Paneer Tikka', 'Chole Bhature']","['Mithai', 'Street Food']",400.0,Delivery,15,0.9416166666666668,0.6150705539515577,9,8,6,11,6,0.8308,0.8624357142857142,0.81571,0.7239428571428572,0.800975
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",MRA,1,0,4.0,23,080 43334333,BTM,"Takeaway, Delivery",[],['Bakery'],200.0,Delivery,2,0.94635,0.26660198580054356,3,0,2,0,1,0.7109875,0.5,0.795875,0.5,0.67
"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",99 Pancakes,1,0,4.5,346,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","['Pan Cake', 'Waffles', 'Nutella Pancakes']","['Desserts', 'Cafe']",300.0,Delivery,207,0.9146685990338164,0.552027088217966,236,77,46,86,67,0.7374414988814317,0.6608271276595745,0.7449742753623189,0.7281625,0.7429348214285714
"No.16/30, Ground Floor, NS Palya, Bannerghatta Main Road, BTM layout, Bangalore",Fresh Kitchen,1,0,3.4,25,080 49652503,Bannerghatta Road,Casual Dining,[],"['North Indian', 'Chinese']",600.0,Delivery,7,0.6309,0.23231914729418168,11,0,1,5,2,0.5171142857142857,0.5,0.24075000000000002,0.930275,0.24075000000000002
"72/33, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Savitha Family Restaurant,1,0,4.0,199,"080 25505786
080 25500333",Koramangala 4th Block,Quick Bites,"['Butter Naan', 'Tandoori Chicken', 'Chicken Tikka Masala', 'Malai Kofta', 'Biryani', 'Wheat Paratha', 'Noodles']",['North Indian'],500.0,Delivery,2,0.879675,0.44446759140280584,3,0,0,0,0,0.5714875,0.5,0.5,0.5,0.5
"Shop 14, 80ft Road, Near Hanuman Temple, Koramangala 6th Block, Bangalore",Gangothri Veg Restaurant,1,0,3.7,93,"080 25635060
080 25635061",Koramangala 6th Block,Quick Bites,[],"['North Indian', 'South Indian', 'Chinese']",300.0,Delivery,5,0.9054800000000001,0.35254517859456214,8,1,0,2,3,0.7265550000000001,0.8548,0.5,0.6774,0.6519833333333334
"No.808, 7th Cross, BTM 2nd Stage, BTM Layout, BTM, Bangalore",Tandoori Paradise,1,0,3.5,8,080 49653474,BTM,Delivery,[],"['North Indian', 'Chinese']",600.0,Delivery,4,0.65195,0.16128152903738868,6,0,0,0,1,0.54646875,0.5,0.5,0.5,0.61315
"Shop 1, 100 Feet Ring Road, 1st Phase, Stage 2, BTM, Bangalore",Shaadi Ki Biryani,1,0,3.1,32,080 43334333,BTM,"Takeaway, Delivery",[],"['Biryani', 'North Indian', 'Mughlai']",400.0,Delivery,20,0.37280749999999996,0.22732034430091108,31,1,3,5,1,0.4077843137254902,0.22885,0.46019166666666667,0.45507,0.625
"24, 1st D Main, Jakkasandra, Koramangala 1st block.",Potful,1,0,3.9,161,+91 8039345732,Koramangala 1st Block,Delivery,['Hyderabadi Mutton Biryani'],"['Biryani', 'Kebab', 'Rolls', 'Mughlai']",650.0,Delivery,11,0.8813272727272727,0.41612076899012773,23,1,6,5,3,0.7122569696969697,0.6806,0.8473666666666666,0.6273,0.6782625
"15, 16th Main Road, Tavarekere Road, BTM, Bangalore",Ghee Biryanis,1,0,3.5,139,+91 9742044034,BTM,"Takeaway, Delivery",['Biryani'],"['Biryani', 'North Indian']",500.0,Delivery,3,0.6017666666666667,0.3627283501628599,8,0,2,1,1,0.7239916666666667,0.5,0.836075,0.9258,0.9258
"3rd Cross Road, Venkateshwara Layout, Suddagunte Palya, BTM, Bangalore",The Biriyani Pedia,1,0,4.0,59,+91 9809202588,BTM,Quick Bites,"['Chicken Stew', 'Ghee Rice', 'Chai', 'Beef Biryani']","['Biryani', 'North Indian']",300.0,Delivery,1,0.9581500000000001,0.3434681881145357,3,0,2,0,0,0.7207250000000001,0.5,0.8024,0.5,0.5
"546/5, Langford Road, Opposite Hockey Stadium, Shanti Nagar, Bangalore",Wazir's,1,0,3.3,261,"080 22292668
080 41145555",Shanti Nagar,Casual Dining,"['Biryani', 'Butter Chicken', 'Butter Naan', 'Kalmi Kebab', 'Roti', 'Rolls', 'Fried Rice']","['North Indian', 'Chinese']",500.0,Delivery,618,0.6423257281553398,0.3853737915708676,640,114,42,202,112,0.6339095168262836,0.5844246453900709,0.5410214285714285,0.644530735930736,0.6841864130434783
"Venkatapura Main Road, Teacher Colony, HSR, Bangalore",Priya Juice & Snacks,1,0,3.7,78,+91 7907369724,HSR,Beverage Shop,[],"['Beverages', 'Juices']",200.0,Delivery,230,0.574495,0.33905521154362683,46,1,1,7,1,0.6485578571428572,0.6591,0.5,0.15220000000000006,0.3409
"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",Wahab,1,0,3.7,97,+91 9845088001,Jayanagar,Quick Bites,"['Chicken Biryani', 'Rolls']","['North Indian', 'Mughlai', 'Chinese']",350.0,Delivery,325,0.6878186153846154,0.35577884686816574,418,6,31,102,102,0.7089417089678511,0.93445,0.7709959677419356,0.7705626712328767,0.7871513157894736
"11, Eat Street, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Kaaram,1,0,3.9,327,"080 49653061
+91 9742457293",Koramangala 6th Block,Casual Dining,"['Mughlai Biryani', 'Vegetable Biryani', 'Kaaram Biryani', 'Gulab Jamun', 'Raita', 'Kebab Biryani', 'Dum Biryani']","['Andhra', 'Biryani']",500.0,Delivery,3,0.6199833333333333,0.4738177163933698,6,0,1,0,1,0.7386208333333333,0.5,0.92685,0.5,0.92685
"15, Bannerghatta Main Road, JP Nagar, Bangalore",Le Arabia,1,0,4.2,148,+91 8041410082,JP Nagar,Casual Dining,"['Chicken Biryani', 'Shawarma']","['North Indian', 'Mughlai']",600.0,Delivery,6,0.9594083333333334,0.4407619247126504,14,7,3,4,0,0.7545649999999999,0.7962750000000001,0.64465,0.7771583333333334,0.5
"5th Main, Near Muni Reddy Kalyana Mantap, Koramangala 5th Block, Bangalore",Sree Krishna Kafe,1,0,4.2,973,"080 41104345
+91 8197156368",Koramangala 5th Block,Quick Bites,"['Filter Coffee', 'Lunch Thali', 'Idli', 'Mini Idlis', 'Ghee Masala Dosa', 'Rasam Vada', 'Pongal']",['South Indian'],200.0,Delivery,15,0.7930433333333333,0.6061344198136428,21,7,4,6,3,0.6307625,0.58721,0.4951875,0.471555,0.7215
"14/6, 9th Main Road, Opposite Water Tank, 100 Feet Road, 2nd Stage, BTM, Bangalore",Mahesh Friends Food Center,1,0,2.9,141,+91 9731081364,BTM,Quick Bites,['Lassi'],"['Chinese', 'North Indian']",300.0,Delivery,90,0.3625072222222222,0.3014090443063806,141,1,1,8,15,0.38462642694063925,0.5,0.5,0.19551874999999996,0.2931909090909091
"785, 2nd B Main, Bhuvaneshwari Road, Koramangala 8th Block, Bangalore",Ovenstory Pizza,1,0,4.1,192,+91 7738383000,Koramangala 8th Block,Delivery,"['Chicken Tikka', 'Chocolava Cake', 'Peri Peri Pizza', 'Tandoori Paneer', 'Lava Cake']",['Pizza'],750.0,Delivery,135,0.8409996296296296,0.45251585503603825,298,33,47,24,13,0.6487338677248677,0.5964878787878788,0.6529968085106383,0.406575,0.6982142857142857
"6th Block, Sony World Signal, Koramangala 6th Block, Bangalore",99 Variety Dosa & Pav Bhaji,1,0,3.8,16,080 49653398,Koramangala 6th Block,Quick Bites,[],"['South Indian', 'North Indian', 'Street Food']",250.0,Delivery,3,0.9248833333333333,0.2257901617913513,1,0,0,1,0,0.81245,0.5,0.5,0.81245,0.5
"1319, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",Andhra Ruchulu,1,1,4.2,1431,"+91 8970409660
+91 9900262033",JP Nagar,Casual Dining,"['Paneer Tikka', 'Bhuna Gosht', 'Andhra Meal', 'Chicken Biryani', 'Chicken Guntur', 'Chicken Sholey Kebab', 'Andhra Biryani']","['Andhra', 'North Indian']",800.0,Delivery,42,0.8630464285714285,0.6400829690043062,90,31,14,81,7,0.7210147817460317,0.6897818965517242,0.7204939393939394,0.7410346153846153,0.9023500000000001
"96, 100 Feet Ring Road, Vysya Bank Colony, 1st Stage, BTM, Bangalore",Magix's Parattha Roll,1,0,3.8,186,080 49652620,BTM,Quick Bites,"['Rolls', 'Chicken Roll', 'Tandoori Chicken', 'Biryani', 'Chicken Lollipop', 'Paratha', 'Chicken Grill']","['Fast Food', 'North Indian', 'Chinese', 'Mughlai', 'Rolls']",400.0,Delivery,75,0.5862353333333333,0.4168880763694064,33,9,5,9,5,0.6680134259259259,0.5,0.73392,0.593428125,0.69655
"2/20, 100 Feet Ring Road, BTM 1st Stage, BTM, Bangalore",Sri Punjabi Dhaba,1,0,3.3,50,+91 9632537148,BTM,Dhaba,[],['North Indian'],400.0,Delivery,76,0.5153546052631579,0.27211365080861166,82,12,4,6,2,0.4674512077294686,0.7710666666666666,0.5078,0.17152499999999998,0.5937250000000001
"337, 1st B Main Road, Koramangala 7th Block, Bangalore",Nutri Rich,1,0,3.8,53,+91 8043761506,Koramangala 7th Block,Quick Bites,"['Pizza', 'Spinach Curry', 'Salad']",['Healthy Food'],350.0,Delivery,2,0.8955,0.3178981756338205,5,0,0,0,0,0.7527874999999999,0.5,0.5,0.5,0.5
"14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",Dadi's Dum Biryani,1,1,4.1,2727,"+91 7090999991
+91 7090599999",BTM,Casual Dining,"['Butter Chicken', 'Panner Tikka', 'Chicken Biryani', 'Chicken Lollipop', 'Chicken Tikka Masala', 'Dum Biryani', 'Tangdi Kabab']","['Biryani', 'North Indian', 'Mughlai']",800.0,Delivery,135,0.842685925925926,0.6802603657832479,342,31,28,31,5,0.6822727611940299,0.8726354838709678,0.8727678571428571,0.8588294642857144,0.705925
"Makana Tower, Tavarekere Main Road",Ashirvaad Grand,1,0,4.0,115,"080 26844799
080 26847799",BTM,Quick Bites,"['Masala Dosa', 'Panneer Butter Masala']","['Chinese', 'North Indian', 'South Indian']",400.0,Delivery,4,0.742325,0.39877127710331806,5,1,2,1,0,0.7011666666666667,0.29925,0.8891,0.25429999999999997,0.5
"1, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",Karama Restaurant,1,0,3.8,11,080 43334321,BTM,"Takeaway, Delivery",[],['Arabian'],400.0,Delivery,3,0.5810666666666666,0.19803220102330027,3,0,0,0,2,0.5810666666666666,0.5,0.5,0.5,0.29159999999999997
"9, Roopenagrahara, Behind Mahendra Showroom, Bommanahalli, Bangalore",Biryani Junction,1,0,2.3,298,"+91 7259100504
+91 7259100489",Bommanahalli,Quick Bites,"['Raita', 'Vegetable Biryani', 'Biryani Combo']","['Biryani', 'North Indian', 'Chinese']",450.0,Delivery,3,0.3452333333333334,0.27496576622020946,3,0,1,0,0,0.455975,0.5,0.5,0.5,0.5
"9, Roopenagrahara, Behind Mahendra Showroom, Bommanahalli, Bangalore",Navya's,1,0,2.5,47,"+91 7259100489
+91 7259100504",Bommanahalli,Casual Dining,[],"['Hyderabadi', 'Biryani', 'North Indian']",800.0,Delivery,144,0.34705208333333337,0.2029681394721924,130,0,1,47,2,0.3090136363636363,0.5,0.16075,0.38140454545454544,0.25575000000000003
"115, 30th Main, 2nd Stage, BTM, Bangalore",OMG Biriyani,1,0,3.4,16,080 49652478,BTM,Quick Bites,[],"['Biryani', 'Andhra', 'Chinese']",600.0,Delivery,6,0.3487583333333333,0.20202277633963014,4,0,0,0,2,0.22423333333333334,0.5,0.5,0.5,0.27725
"2B Block, Total Mall, Hosur Road, Madiwala",KFC,1,0,4.0,358,080 33994444,BTM,Quick Bites,"['Burgers', 'Chicken Bucket', 'Paneer Zinger Burger']","['Burger', 'Fast Food']",400.0,Delivery,3,0.9323666666666666,0.49354275150967025,5,1,0,1,0,0.7695125,0.5,0.5,0.7202,0.5
